riskId,activityId,simulatedDuration,totalSimulatedDuration,riskMitigationCost,contigencyCost
R1,"1,2",166.12700172242174,471.1270017224217,4189.95,315099.64
R1,"1,2",148.08309485414378,453.0830948541438,4189.95,315099.64
R1,"1,2",132.36235635167606,437.36235635167606,4189.95,315099.64
R1,"1,2",173.11324742632365,478.11324742632365,4189.95,315099.64
R1,"1,2",151.09812424595611,456.0981242459561,4189.95,315099.64
R1,"1,2",134.03458826685775,439.0345882668578,4189.95,315099.64
R1,"1,2",106.71184604221403,411.711846042214,4189.95,315099.64
R1,"1,2",153.28480002553144,458.28480002553147,4189.95,315099.64
R1,"1,2",98.15467380675965,403.15467380675966,4189.95,315099.64
R1,"1,2",125.71132247788266,430.7113224778827,4189.95,315099.64
R1,"1,2",164.84883476074447,469.84883476074447,4189.95,315099.64
R1,"1,2",124.21260299139459,429.2126029913946,4189.95,315099.64
R1,"1,2",120.73398170651586,425.73398170651586,4189.95,315099.64
R1,"1,2",171.33631950425712,476.3363195042571,4189.95,315099.64
R1,"1,2",127.8445956540511,432.8445956540511,4189.95,315099.64
R1,"1,2",117.42216632343425,422.4221663234342,4189.95,315099.64
R1,"1,2",127.44301430122924,432.44301430122925,4189.95,315099.64
R1,"1,2",124.55056024743718,429.55056024743715,4189.95,315099.64
R1,"1,2",114.86492084344707,419.86492084344707,4189.95,315099.64
R1,"1,2",174.48657000971045,479.4865700097105,4189.95,315099.64
R1,"1,2",157.81916002233072,462.8191600223307,4189.95,315099.64
R1,"1,2",149.97172127937995,454.97172127937995,4189.95,315099.64
R1,"1,2",153.70518154485944,458.70518154485944,4189.95,315099.64
R1,"1,2",129.07638007521808,434.0763800752181,4189.95,315099.64
R1,"1,2",94.37490444128281,399.3749044412828,4189.95,315099.64
R1,"1,2",93.2491021960492,398.2491021960492,4189.95,315099.64
R1,"1,2",142.79055549466875,447.79055549466875,4189.95,315099.64
R1,"1,2",120.2131860341442,425.2131860341442,4189.95,315099.64
R1,"1,2",151.50225088716974,456.50225088716974,4189.95,315099.64
R1,"1,2",118.72974856826397,423.729748568264,4189.95,315099.64
R1,"1,2",152.0126238195695,457.0126238195695,4189.95,315099.64
R1,"1,2",110.2589932831861,415.2589932831861,4189.95,315099.64
R1,"1,2",146.28299712924138,451.2829971292414,4189.95,315099.64
R1,"1,2",164.63975888618785,469.63975888618785,4189.95,315099.64
R1,"1,2",125.06864185859695,430.06864185859695,4189.95,315099.64
R1,"1,2",101.75098709719003,406.75098709719003,4189.95,315099.64
R1,"1,2",123.01411842449592,428.0141184244959,4189.95,315099.64
R1,"1,2",125.98197832296901,430.981978322969,4189.95,315099.64
R1,"1,2",148.83476099376867,453.83476099376867,4189.95,315099.64
R1,"1,2",129.4869536480711,434.4869536480711,4189.95,315099.64
R1,"1,2",134.5942978601397,439.5942978601397,4189.95,315099.64
R1,"1,2",136.56564831452363,441.5656483145236,4189.95,315099.64
R1,"1,2",155.03001280964355,460.03001280964355,4189.95,315099.64
R1,"1,2",154.04152447914427,459.0415244791443,4189.95,315099.64
R1,"1,2",108.1716505569331,413.1716505569331,4189.95,315099.64
R1,"1,2",126.93560910919823,431.93560910919825,4189.95,315099.64
R1,"1,2",125.24999494420953,430.24999494420956,4189.95,315099.64
R1,"1,2",162.43087174327084,467.4308717432708,4189.95,315099.64
R1,"1,2",96.30971389500388,401.3097138950039,4189.95,315099.64
R1,"1,2",102.02130405790459,407.02130405790456,4189.95,315099.64
R1,"1,2",154.61394292917805,459.61394292917805,4189.95,315099.64
R1,"1,2",105.45608640689937,410.4560864068994,4189.95,315099.64
R1,"1,2",170.79249917721725,475.7924991772172,4189.95,315099.64
R1,"1,2",156.97921711334675,461.97921711334675,4189.95,315099.64
R1,"1,2",149.7264830147003,454.7264830147003,4189.95,315099.64
R1,"1,2",133.25900792488085,438.25900792488085,4189.95,315099.64
R1,"1,2",177.64109426743153,482.6410942674315,4189.95,315099.64
R1,"1,2",179.15909275907288,484.1590927590729,4189.95,315099.64
R1,"1,2",126.4921470319196,431.4921470319196,4189.95,315099.64
R1,"1,2",157.28125741519054,462.28125741519057,4189.95,315099.64
R1,"1,2",98.72145813759013,403.72145813759016,4189.95,315099.64
R1,"1,2",127.14295703152462,432.1429570315246,4189.95,315099.64
R1,"1,2",107.668180498586,412.668180498586,4189.95,315099.64
R1,"1,2",145.01248366859335,450.01248366859335,4189.95,315099.64
R1,"1,2",148.671181417881,453.67118141788103,4189.95,315099.64
R1,"1,2",118.50343769231938,423.5034376923194,4189.95,315099.64
R1,"1,2",147.25500578570575,452.25500578570575,4189.95,315099.64
R1,"1,2",114.97647549676313,419.9764754967631,4189.95,315099.64
R1,"1,2",135.17936243686157,440.17936243686154,4189.95,315099.64
R1,"1,2",132.7841471308361,437.7841471308361,4189.95,315099.64
R1,"1,2",98.09485018479393,403.0948501847939,4189.95,315099.64
R1,"1,2",123.59865796054514,428.59865796054515,4189.95,315099.64
R1,"1,2",103.33439625623244,408.3343962562324,4189.95,315099.64
R1,"1,2",155.956317297167,460.956317297167,4189.95,315099.64
R1,"1,2",131.74584155892833,436.7458415589283,4189.95,315099.64
R1,"1,2",130.3142788427795,435.31427884277946,4189.95,315099.64
R1,"1,2",118.50221091555264,423.5022109155526,4189.95,315099.64
R1,"1,2",139.7624729658666,444.7624729658666,4189.95,315099.64
R1,"1,2",156.80318454268905,461.80318454268905,4189.95,315099.64
R1,"1,2",111.47667462670691,416.4766746267069,4189.95,315099.64
R1,"1,2",168.85054749521183,473.8505474952118,4189.95,315099.64
R1,"1,2",135.3828936227282,440.3828936227282,4189.95,315099.64
R1,"1,2",126.25247828461349,431.2524782846135,4189.95,315099.64
R1,"1,2",129.74802091188462,434.7480209118846,4189.95,315099.64
R1,"1,2",144.30787083292648,449.3078708329265,4189.95,315099.64
R1,"1,2",171.8861388721827,476.8861388721827,4189.95,315099.64
R1,"1,2",147.99826717840034,452.99826717840034,4189.95,315099.64
R1,"1,2",131.06583542438165,436.06583542438165,4189.95,315099.64
R1,"1,2",134.67334430200262,439.67334430200265,4189.95,315099.64
R1,"1,2",93.10109654679003,398.10109654679,4189.95,315099.64
R1,"1,2",147.9084406640576,452.9084406640576,4189.95,315099.64
R1,"1,2",149.87543214568376,454.87543214568376,4189.95,315099.64
R1,"1,2",139.917303742373,444.917303742373,4189.95,315099.64
R1,"1,2",93.72245202106875,398.72245202106876,4189.95,315099.64
R1,"1,2",152.06238515876498,457.062385158765,4189.95,315099.64
R1,"1,2",152.06523535982092,457.0652353598209,4189.95,315099.64
R1,"1,2",109.63116397592037,414.63116397592034,4189.95,315099.64
R1,"1,2",169.67756988269878,474.6775698826988,4189.95,315099.64
R1,"1,2",140.59809203955888,445.5980920395589,4189.95,315099.64
R1,"1,2",160.54932920277332,465.5493292027733,4189.95,315099.64
R1,"1,2",115.26709990595529,420.2670999059553,4189.95,315099.64
R1,"1,2",146.05787171837665,451.05787171837665,4189.95,315099.64
R1,"1,2",99.48715200851748,404.48715200851746,4189.95,315099.64
R1,"1,2",137.13903008189538,442.1390300818954,4189.95,315099.64
R1,"1,2",144.84667141568752,449.8466714156875,4189.95,315099.64
R1,"1,2",138.9888588902379,443.9888588902379,4189.95,315099.64
R1,"1,2",159.03026087705237,464.03026087705234,4189.95,315099.64
R1,"1,2",161.75915710931858,466.7591571093186,4189.95,315099.64
R1,"1,2",114.63088843337825,419.63088843337823,4189.95,315099.64
